cost_function,algorithm,percentage,percentage_label,k,seed_size,seed_cost,influenced_size,runtime_seconds,seed_set
c1_random,Greedy-f1,0.005,0.5%,989,435,987,633,33.21362495422363,"[30, 229, 357, 461, 535, 1086, 1255, 1662, 1664, 1677, 1690, 1776, 2984, 3189, 3634, 3824, 3952, 4024, 4239, 5424, 5453, 6137, 6173, 6506, 6790, 7072, 7588, 8053, 8273, 8583, 8796, 8978, 9769, 10054, 10348, 10429, 10564, 10976, 10985, 11080, 11119, 11257, 11404, 11443, 11472, 12042, 12203, 12446, 12606, 12826, 13739, 13870, 14126, 15555, 16665, 16697, 17380, 17485, 17760, 19066, 19383, 19611, 19911, 20756, 21084, 21627, 21718, 22174, 22670, 22780, 23099, 23913, 23986, 24500, 25452, 25780, 25993, 26033, 26459, 26503, 26775, 27375, 27385, 28128, 28317, 28516, 28523, 29289, 29468, 29732, 30007, 30068, 30189, 30375, 30502, 30764, 31638, 32003, 32298, 33068, 33126, 33351, 33362, 33779, 33883, 33983, 34265, 34387, 34454, 34608, 34618, 35020, 35290, 35790, 36617, 36688, 36907, 37479, 37693, 37805, 38109, 38858, 38861, 38966, 39258, 39298, 39521, 39659, 40242, 40495, 40811, 40855, 41308, 41425, 41473, 41554, 41767, 42429, 42531, 42551, 42895, 43227, 43483, 43725, 44183, 44278, 45009, 45163, 45180, 45319, 45541, 45818, 46684, 46716, 46981, 47399, 47763, 47968, 48527, 48546, 48863, 48951, 49118, 49648, 50163, 50730, 50808, 50897, 51306, 51358, 51631, 51847, 51962, 52217, 53213, 53998, 54131, 54350, 54681, 54746, 54856, 54885, 56290, 56494, 56525, 56612, 56723, 56944, 57096, 57156, 57331, 58014, 58172, 58667, 58700, 58712, 58850, 59517, 59733, 60579, 60642, 60975, 61157, 61290, 61429, 61620, 62282, 62821, 62842, 63346, 63474, 63709, 63803, 64054, 64176, 64568, 64834, 64909, 66367, 66728, 67299, 67374, 67471, 67716, 67890, 67893, 68018, 68148, 68363, 69090, 70041, 70074, 70339, 70366, 70854, 70898, 71040, 71703, 71711, 71717, 72216, 72315, 72811, 72975, 73462, 73703, 73941, 74380, 74702, 75223, 75441, 75847, 76213, 76597, 76749, 76929, 77019, 77052, 77415, 77480, 77525, 77754, 77959, 78462, 78800, 78904, 79956, 81353, 81647, 82079, 82615, 82729, 82767, 82886, 83224, 83507, 83653, 84185, 84265, 84551, 85176, 85871, 86062, 86252, 86368, 86651, 87034, 87187, 87325, 87518, 87909, 88012, 88155, 88283, 88404, 88948, 89654, 89848, 89969, 90213, 90402, 90577, 90794, 90879, 90975, 91070, 91843, 92043, 92327, 92357, 92790, 92818, 93595, 93798, 95036, 95107, 95242, 95255, 95774, 96635, 97201, 97249, 97434, 98055, 98230, 98586, 98698, 98896, 99104, 99361, 100021, 100418, 100752, 101025, 101167, 101495, 101671, 101953, 102116, 102277, 102855, 103027, 103096, 103749, 104113, 105118, 105314, 105423, 105780, 105961, 106011, 106274, 106763, 106785, 106964, 107622, 107846, 108054, 108405, 109420, 110043, 110248, 110423, 110704, 110902, 110955, 111194, 111497, 111596, 111660, 111665, 111709, 111786, 112347, 112410, 112615, 112650, 112711, 113004, 113079, 113481, 113773, 114352, 114426, 114715, 115420, 115666, 115700, 115774, 116054, 116126, 116191, 116337, 116380, 116722, 116881, 116893, 117350, 118076, 118103, 118341, 119135, 119231, 119515, 119664, 119843, 120174, 120321, 120926, 121037, 121205, 121752, 121959, 124145, 125226, 125678, 126340, 126451, 126737, 126830, 128095, 128463, 128775, 128878, 129063, 129183, 129229, 129945, 130322, 130476, 130543, 130997, 131204, 131221, 132679]"
c1_random,Greedy-f1,0.01,1%,1977,697,1973,1126,50.41354417800903,"[30, 229, 357, 461, 463, 529, 535, 722, 1086, 1155, 1255, 1625, 1662, 1664, 1677, 1690, 1776, 2094, 2158, 2984, 3189, 3365, 3468, 3634, 3675, 3824, 3952, 4024, 4074, 4239, 4679, 5180, 5216, 5335, 5424, 5453, 5638, 6003, 6137, 6173, 6256, 6506, 6790, 6831, 7072, 7264, 7588, 8053, 8070, 8156, 8273, 8583, 8796, 8978, 9321, 9602, 9769, 9987, 10054, 10348, 10429, 10564, 10639, 10793, 10976, 10985, 11080, 11119, 11257, 11270, 11378, 11404, 11443, 11472, 12042, 12203, 12446, 12606, 12826, 13068, 13069, 13219, 13739, 13870, 14126, 14302, 14859, 15555, 15695, 16158, 16163, 16665, 16697, 17380, 17485, 17689, 17760, 17806, 17919, 18035, 18314, 19066, 19383, 19491, 19611, 19911, 20056, 20498, 20756, 21084, 21271, 21507, 21512, 21588, 21627, 21718, 22032, 22174, 22236, 22289, 22523, 22670, 22780, 23099, 23211, 23913, 23986, 24354, 24500, 24583, 24833, 24972, 25203, 25452, 25780, 25899, 25993, 26033, 26168, 26459, 26503, 26713, 26775, 26895, 27348, 27375, 27385, 27445, 28128, 28247, 28317, 28516, 28523, 29289, 29468, 29732, 30007, 30068, 30189, 30375, 30502, 30764, 31638, 32003, 32298, 33068, 33126, 33302, 33351, 33362, 33500, 33751, 33779, 33883, 33983, 34051, 34265, 34266, 34387, 34454, 34608, 34618, 35020, 35290, 35550, 35790, 36409, 36617, 36688, 36907, 37479, 37693, 37716, 37805, 38109, 38858, 38861, 38966, 39258, 39298, 39521, 39659, 39741, 40242, 40321, 40495, 40732, 40811, 40847, 40855, 41157, 41308, 41425, 41473, 41554, 41767, 42199, 42429, 42531, 42551, 42895, 43128, 43161, 43227, 43483, 43725, 43850, 43924, 44183, 44278, 44612, 45009, 45163, 45180, 45319, 45530, 45541, 45779, 45818, 46668, 46684, 46716, 46963, 46981, 47399, 47571, 47710, 47763, 47968, 48527, 48546, 48863, 48951, 49118, 49486, 49648, 50163, 50340, 50385, 50579, 50586, 50730, 50808, 50897, 51087, 51306, 51358, 51631, 51751, 51847, 51962, 52028, 52217, 52700, 53213, 53784, 53998, 54055, 54131, 54350, 54583, 54681, 54746, 54856, 54885, 55559, 55837, 55999, 56048, 56290, 56302, 56494, 56525, 56612, 56723, 56768, 56944, 57096, 57156, 57186, 57250, 57331, 57375, 57419, 57650, 57809, 58014, 58132, 58172, 58381, 58486, 58532, 58667, 58700, 58712, 58749, 58844, 58850, 59040, 59151, 59517, 59719, 59733, 60198, 60579, 60642, 60975, 61157, 61290, 61429, 61620, 61700, 61827, 62282, 62515, 62679, 62821, 62842, 62855, 63346, 63398, 63470, 63474, 63709, 63803, 64054, 64176, 64279, 64357, 64568, 64834, 64909, 65794, 66082, 66367, 66728, 67180, 67299, 67374, 67471, 67716, 67742, 67890, 67893, 68018, 68148, 68363, 69090, 69582, 70041, 70074, 70307, 70339, 70366, 70637, 70854, 70898, 71040, 71466, 71703, 71711, 71717, 71766, 72161, 72194, 72201, 72216, 72315, 72770, 72787, 72811, 72876, 72975, 73462, 73589, 73703, 73941, 74380, 74399, 74702, 74989, 75223, 75441, 75466, 75847, 76213, 76345, 76529, 76597, 76749, 76929, 77019, 77052, 77129, 77415, 77480, 77525, 77754, 77858, 77959, 78462, 78764, 78800, 78904, 79860, 79956, 80491, 80595, 81296, 81353, 81491, 81647, 82079, 82400, 82615, 82729, 82767, 82881, 82886, 83224, 83507, 83653, 84185, 84265, 84551, 85037, 85176, 85229, 85451, 85507, 85659, 85778, 85871, 86062, 86252, 86368, 86651, 87034, 87187, 87325, 87518, 87909, 88012, 88155, 88283, 88404, 88948, 89091, 89257, 89516, 89538, 89654, 89732, 89848, 89969, 90171, 90213, 90402, 90577, 90794, 90879, 90975, 91070, 91401, 91402, 91541, 91843, 92043, 92113, 92163, 92327, 92357, 92790, 92818, 92918, 92927, 93504, 93533, 93595, 93798, 93903, 94235, 95036, 95107, 95242, 95255, 95482, 95774, 96431, 96635, 97201, 97249, 97320, 97371, 97434, 97747, 98055, 98230, 98586, 98698, 98896, 99104, 99165, 99361, 99969, 100021, 100033, 100418, 100640, 100752, 101025, 101167, 101495, 101671, 101941, 101953, 102116, 102118, 102132, 102277, 102855, 103027, 103096, 103179, 103361, 103484, 103673, 103749, 103799, 103934, 104073, 104113, 104749, 105118, 105314, 105423, 105545, 105780, 105961, 106011, 106274, 106763, 106785, 106945, 106964, 107622, 107770, 107797, 107846, 108054, 108188, 108279, 108405, 109420, 109834, 110043, 110248, 110423, 110487, 110704, 110902, 110955, 111046, 111161, 111194, 111223, 111385, 111497, 111596, 111660, 111665, 111709, 111786, 112217, 112347, 112410, 112615, 112650, 112695, 112711, 113004, 113079, 113277, 113481, 113773, 114140, 114352, 114426, 114715, 115420, 115666, 115684, 115700, 115774, 116054, 116126, 116191, 116337, 116380, 116658, 116722, 116865, 116881, 116893, 117135, 117350, 117441, 118076, 118103, 118341, 118859, 118896, 118937, 119031, 119135, 119231, 119515, 119664, 119843, 120149, 120174, 120321, 120425, 120926, 121026, 121037, 121112, 121205, 121722, 121726, 121752, 121767, 121959, 122184, 122425, 122981, 123142, 123633, 123834, 123951, 124126, 124145, 124231, 124566, 124741, 124983, 125226, 125678, 126052, 126092, 126340, 126451, 126737, 126830, 126916, 128095, 128249, 128297, 128463, 128775, 128878, 128926, 129063, 129183, 129229, 129945, 130154, 130322, 130442, 130476, 130543, 130997, 131204, 131221, 131315, 131396, 132679]"
c1_random,Greedy-f1,0.02,2%,3954,1128,3948,13582,79.70409870147705,"[30, 229, 352, 357, 461, 463, 529, 535, 722, 884, 916, 1086, 1155, 1255, 1324, 1556, 1625, 1662, 1664, 1677, 1690, 1713, 1776, 1867, 2094, 2158, 2277, 2478, 2699, 2932, 2984, 3189, 3365, 3468, 3582, 3634, 3658, 3675, 3824, 3952, 4024, 4074, 4239, 4498, 4679, 4786, 4815, 4908, 5019, 5180, 5216, 5335, 5424, 5453, 5638, 6000, 6003, 6026, 6068, 6137, 6173, 6256, 6358, 6506, 6790, 6831, 6835, 6837, 6976, 7019, 7072, 7264, 7588, 8053, 8070, 8156, 8273, 8381, 8583, 8796, 8978, 9321, 9428, 9602, 9769, 9987, 10054, 10172, 10348, 10429, 10564, 10639, 10793, 10976, 10985, 11040, 11080, 11119, 11257, 11270, 11318, 11378, 11404, 11443, 11472, 11664, 11799, 12041, 12042, 12203, 12446, 12606, 12621, 12826, 12997, 13012, 13068, 13069, 13080, 13109, 13219, 13557, 13698, 13739, 13870, 13944, 14126, 14149, 14212, 14302, 14741, 14859, 14956, 15435, 15555, 15695, 15765, 15826, 16042, 16068, 16158, 16163, 16248, 16259, 16267, 16287, 16665, 16697, 16999, 17380, 17454, 17485, 17651, 17689, 17731, 17756, 17760, 17806, 17919, 18007, 18035, 18137, 18242, 18255, 18314, 18396, 18650, 18904, 18984, 19066, 19383, 19491, 19564, 19611, 19674, 19812, 19893, 19911, 20056, 20076, 20405, 20498, 20598, 20634, 20732, 20756, 20965, 21084, 21174, 21271, 21306, 21507, 21512, 21588, 21627, 21718, 22032, 22036, 22174, 22236, 22289, 22462, 22523, 22670, 22681, 22767, 22780, 22851, 23099, 23106, 23211, 23913, 23986, 24308, 24354, 24500, 24583, 24751, 24833, 24972, 25203, 25452, 25780, 25899, 25993, 26033, 26168, 26219, 26301, 26459, 26477, 26503, 26713, 26726, 26775, 26819, 26872, 26895, 26922, 26931, 27124, 27331, 27348, 27375, 27385, 27445, 27471, 27779, 27970, 28128, 28210, 28247, 28317, 28516, 28523, 29289, 29403, 29468, 29489, 29502, 29606, 29732, 29751, 29798, 30007, 30068, 30189, 30375, 30407, 30502, 30764, 30912, 31063, 31389, 31638, 31756, 31782, 32003, 32011, 32053, 32129, 32298, 32400, 32650, 32715, 32776, 33040, 33053, 33068, 33126, 33302, 33351, 33362, 33500, 33751, 33779, 33830, 33883, 33983, 34051, 34097, 34218, 34265, 34266, 34387, 34454, 34608, 34618, 34676, 34908, 34913, 35020, 35026, 35157, 35290, 35550, 35666, 35777, 35790, 36148, 36409, 36617, 36688, 36833, 36907, 37378, 37479, 37693, 37716, 37805, 37810, 38109, 38155, 38219, 38284, 38810, 38858, 38861, 38921, 38966, 39062, 39258, 39298, 39521, 39659, 39713, 39718, 39741, 39871, 40013, 40037, 40170, 40209, 40242, 40270, 40282, 40321, 40440, 40495, 40599, 40649, 40732, 40811, 40847, 40855, 41077, 41127, 41157, 41202, 41308, 41425, 41473, 41554, 41767, 41883, 42062, 42080, 42199, 42220, 42429, 42531, 42551, 42895, 43005, 43098, 43128, 43161, 43227, 43483, 43725, 43850, 43870, 43924, 44065, 44183, 44278, 44434, 44612, 44791, 45009, 45083, 45163, 45180, 45319, 45384, 45530, 45541, 45603, 45779, 45818, 46342, 46663, 46668, 46684, 46716, 46797, 46847, 46963, 46981, 47056, 47276, 47399, 47437, 47556, 47571, 47640, 47710, 47763, 47789, 47968, 48189, 48446, 48527, 48546, 48548, 48561, 48686, 48863, 48931, 48951, 49009, 49011, 49118, 49236, 49459, 49486, 49648, 50096, 50122, 50163, 50247, 50340, 50385, 50537, 50579, 50586, 50619, 50730, 50808, 50897, 51087, 51306, 51358, 51631, 51751, 51847, 51951, 51962, 51982, 52028, 52217, 52682, 52699, 52700, 53213, 53483, 53784, 53998, 54015, 54055, 54131, 54239, 54258, 54350, 54430, 54583, 54681, 54746, 54856, 54885, 54947, 55559, 55837, 55999, 56048, 56290, 56302, 56494, 56525, 56612, 56723, 56768, 56944, 57096, 57156, 57186, 57250, 57331, 57368, 57375, 57419, 57511, 57650, 57809, 58014, 58023, 58132, 58172, 58381, 58411, 58486, 58532, 58667, 58700, 58712, 58749, 58764, 58844, 58850, 58926, 59040, 59151, 59195, 59510, 59517, 59626, 59719, 59733, 59915, 60075, 60198, 60308, 60579, 60642, 60651, 60814, 60975, 61157, 61290, 61429, 61620, 61686, 61700, 61807, 61827, 62116, 62282, 62346, 62515, 62605, 62679, 62821, 62842, 62855, 63346, 63398, 63470, 63474, 63709, 63803, 63868, 64054, 64176, 64279, 64357, 64568, 64766, 64834, 64909, 65192, 65610, 65794, 66082, 66367, 66544, 66728, 66947, 66995, 67180, 67299, 67374, 67471, 67716, 67742, 67778, 67890, 67893, 68018, 68148, 68363, 68444, 68603, 68830, 69090, 69582, 69839, 70041, 70074, 70307, 70339, 70366, 70413, 70637, 70665, 70854, 70898, 71040, 71466, 71703, 71711, 71717, 71766, 72161, 72194, 72201, 72216, 72291, 72315, 72380, 72647, 72770, 72772, 72787, 72811, 72876, 72975, 73237, 73280, 73462, 73589, 73703, 73941, 74380, 74399, 74615, 74702, 74989, 75117, 75171, 75223, 75347, 75441, 75466, 75664, 75847, 75947, 76005, 76213, 76345, 76438, 76529, 76597, 76621, 76706, 76749, 76929, 76970, 77019, 77052, 77129, 77320, 77415, 77480, 77525, 77754, 77755, 77783, 77816, 77858, 77959, 78128, 78462, 78764, 78800, 78904, 79028, 79152, 79423, 79860, 79956, 80063, 80491, 80595, 80691, 80912, 80988, 81001, 81296, 81353, 81387, 81491, 81585, 81647, 81761, 82079, 82295, 82373, 82400, 82482, 82587, 82615, 82704, 82729, 82767, 82806, 82881, 82886, 82896, 83016, 83224, 83393, 83421, 83507, 83653, 84185, 84265, 84551, 84764, 85037, 85176, 85229, 85296, 85360, 85451, 85481, 85507, 85659, 85778, 85871, 85948, 85972, 85990, 86016, 86062, 86252, 86368, 86651, 86700, 86951, 87034, 87060, 87187, 87214, 87262, 87294, 87325, 87452, 87518, 87579, 87685, 87885, 87909, 87944, 88012, 88155, 88283, 88404, 88511, 88948, 89091, 89194, 89257, 89425, 89483, 89516, 89538, 89652, 89654, 89732, 89848, 89969, 90171, 90213, 90402, 90437, 90455, 90577, 90592, 90794, 90879, 90975, 91027, 91070, 91192, 91401, 91402, 91403, 91541, 91586, 91843, 91969, 92043, 92113, 92163, 92297, 92327, 92357, 92468, 92577, 92790, 92818, 92918, 92927, 93012, 93271, 93325, 93360, 93363, 93504, 93533, 93595, 93798, 93903, 93967, 94235, 94597, 95036, 95107, 95242, 95255, 95482, 95774, 95911, 95952, 96190, 96233, 96431, 96500, 96635, 97201, 97249, 97320, 97371, 97434, 97747, 98055, 98230, 98586, 98698, 98771, 98853, 98896, 99104, 99165, 99193, 99239, 99254, 99324, 99361, 99431, 99969, 99972, 100021, 100033, 100394, 100418, 100640, 100752, 101025, 101167, 101495, 101671, 101751, 101941, 101953, 101994, 102116, 102118, 102132, 102277, 102855, 103027, 103046, 103096, 103179, 103309, 103354, 103361, 103484, 103673, 103749, 103770, 103799, 103894, 103934, 104040, 104047, 104073, 104113, 104154, 104278, 104391, 104749, 104942, 105118, 105314, 105423, 105496, 105545, 105680, 105780, 105961, 106011, 106274, 106497, 106546, 106685, 106763, 106785, 106865, 106945, 106964, 107622, 107770, 107773, 107797, 107846, 107877, 108054, 108188, 108279, 108405, 108737, 109192, 109420, 109544, 109618, 109785, 109834, 109843, 110043, 110248, 110423, 110473, 110487, 110644, 110704, 110902, 110955, 111046, 111161, 111181, 111194, 111223, 111385, 111496, 111497, 111596, 111660, 111665, 111709, 111786, 111942, 112157, 112217, 112347, 112410, 112615, 112650, 112695, 112711, 113004, 113079, 113277, 113481, 113753, 113773, 113780, 113825, 114095, 114140, 114352, 114426, 114715, 114785, 114959, 115084, 115123, 115335, 115344, 115420, 115439, 115543, 115607, 115666, 115684, 115700, 115774, 115900, 116054, 116126, 116173, 116191, 116209, 116284, 116337, 116380, 116658, 116697, 116722, 116865, 116881, 116893, 116961, 117135, 117140, 117350, 117441, 117579, 118076, 118103, 118341, 118549, 118835, 118859, 118896, 118937, 119031, 119135, 119231, 119412, 119515, 119533, 119664, 119843, 120112, 120149, 120174, 120321, 120425, 120556, 120926, 121026, 121037, 121112, 121205, 121399, 121444, 121722, 121726, 121752, 121767, 121891, 121959, 122164, 122184, 122425, 122598, 122652, 122981, 123142, 123233, 123389, 123633, 123787, 123834, 123951, 124126, 124145, 124231, 124546, 124566, 124741, 124746, 124956, 124983, 125007, 125156, 125226, 125678, 125793, 126052, 126092, 126152, 126340, 126394, 126451, 126487, 126737, 126830, 126916, 127193, 127302, 127410, 127564, 128081, 128095, 128249, 128297, 128463, 128775, 128878, 128893, 128926, 129063, 129075, 129183, 129229, 129313, 129737, 129945, 130044, 130154, 130322, 130355, 130442, 130476, 130543, 130997, 131091, 131204, 131221, 131315, 131396, 131565, 131704, 131986, 132679]"
